Serial number,Urdu word,Roman Urdu Words,English meaning of the word
1,کے,ke,of
2,کی,kyaa,what all
3,میں,me.n,"in, within, among, between, at"
4,ہے,hai,is
5,اور,aur,"and, (used to join two words, phrases, parts of sentences, or related statements together)"
6,سے,se,like
7,کا,kaa,of
8,اس,us,"that, him, her, it"
9,کو,ko,"to, towards, up to, in, on, for, at, about"
10,کہ,ki,"that, for introducing statement, hypothesis or result or for introducing an alternative, e.g. this or that?"
11,نے,ne,following subjects with transitive verbs in the past tense (denoting agent or active case)
12,ہیں,hai.n,are
13,پر,pur,"city or town, village"
14,یہ,ye,this
15,بھی,bhii,"also, even, likewise, too"
16,کر,karegii,(she) will do
17,ان,un,"him, he"
18,نہیں,nahii.n,"no, not, a negation, denial, disavowal"
19,ایک,ek,"a, an, one"
20,ہو,ho,be
21,کیا,kyaa,what all
22,تو,to,(so)
23,وہ,vo,"that, they, those"
24,لیے,liye,"for, for the sake of, on account of, for the purpose of"
25,تھا,thaa,was
26,جو,jo,"who, what, which, that, if"
27,ہی,hii,only
28,و,vaaya,and
29,نہ,na,"no, not"
30,اپنے,apne,"self, own"
31,گیا,gayaa,"went, gone"
32,جس,jis,"who, that, which, whom, that which"
33,کرنے,karne-haaraa,to do
34,اللہ,allaah,"Allah, God, the Supreme Being, the Omnipotent, the Almighty"
35,دیا,dayaa,"pity, kindness, sympathy, compassion, mercy, benevolence, favour, fellow-feeling"
36,کوئی,koī,any
37,کسی,kisii,"any, anyone, someone, somebody, anybody"
38,یا,yaayaa,or
39,ساتھ,saath,"accompanying,along with, inclusive, society, company, with"
40,آپ,āp,"second-person subjective or objective personal pronoun, grammatically plural: you, ye"
41,تھے,the,was
42,تک,tak,until
43,اپنی,apnii,"own, self, of or belonging to self"
44,ہوئے,hūe,inflection of ہونا (honā): masculine plural perfective participle
45,جائے,jaayee,"go, move   "
46,بعد,baa'd,"after, since, subsequent, latter"
47,لیکن,lekin,"But, but still, on the other hand, however, notwithstanding, nevertheless, yet"
48,ہم,ham,"we, of the same, together, equal, like"
49,کرتے,karte kii biddiyaa hai,"expertise is the result of practice, practice makes perfect"
50,بات,baat,"advice, suggestion"
51,جب,jab,"when, at the time when, whenever, in case, whilst"
52,پاکستان,paakistaan,"The new country that emerged after the partition of India after independence it was the West and East Pakistan, but on the basis of mutual animosity the Pakistan was also divided into two country and the East Pakistan became Bangladesh"
